,job_title,company_name,address,job_description,job_source_url,job_posted_date
10,Backend Java Developer - w2,1 POINT SYSTEM LLC,"Dallas, TX","About the job
Must Haves / Required Skills:
8+ years, senior java resource (someone who has mostly backend exp.)
Micro services
Spring Boot
OpenShift containerization
Oracle - they use 19c
Motivated, not going to be a problem coming into the office. Wants to learn.",https://www.linkedin.com/jobs/view/3532056208/?alternateChannel=search&refId=inuBh3AjI096FyK6ABHFRg%3D%3D&trackingId=vs%2B7zO2HzdjSdBLx2AsLAg%3D%3D&trk=d_flagship3_search_srp_jobs,6 minutes ago
11,.NET Full Stack Developer,Arka IT Solutions,United States,"About the job
TEA is looking for a .NET Full Stack Developer to support the Texas Student Data System (TSDS) development team. This role will be creating design documents, performing tests, and collaborating with the TSDS team for sprint/release work. Candidates should have prior experience developing with C# and ASP.NET (MVC, CORE, Web API) and implementing enterprise level databases in Oracle. Ideally, candidates should also have experience with unit and development testing and JavaScript frameworks (Angular/React).

I. DESCRIPTION OF SERVICES
The Developer/Programmer Analyst performs advanced analysis and programming work involving all technical aspects of designing, creating and maintaining software applications.

Perform technical analysis by reviewing the user requirements and create design documents.
Perform coding adhering to TEA and industry standards, best practices, and customer requirements.
Perform testing verifying they match the requirements, including the creation of test data, test cases and test scripts.
Prepare and maintain technical documentation as required (i.e., design documents, process flows, object or data models, project plans, environment diagrams, test plans, etc.).
Collaborate with the project team for sprint/release work on tasks such as providing development effort estimates, discussing architecture and design, triaging, and resolving defects or issues in multiple environments and providing status on work assignments or issues.

II. CANDIDATE SKILLS AND QUALIFICATIONS
Minimum Requirements:
Candidates that do not meet or exceed the minimum stated requirements (skills/experience) will be displayed to customers but may not be chosen for this opportunity.

8 years experience Required Developing complex web applications using C#, ASP.NET MVC, ASP.NET CORE and ASP.NET Web API
8 years experience Required Designing and Implementing enterprise level databases on Oracle
6 years experience Required Testing each deliverable, using a strong testing methodology for Unit and Development testing.
6 years experience Required XML, JSON, API Testing, JavaScript frameworks like Angular or React
2 years experience Preferred Familiarity with Ed-Fi Data Standards and Technologies
2 years experience Preferred Previous experience with TEA's Texas Student Data System (TSDS) preferred
1 years experience Preferred Familiarity with Bitbucket and Jira",https://www.linkedin.com/jobs/view/3529558586/?alternateChannel=search&refId=inuBh3AjI096FyK6ABHFRg%3D%3D&trackingId=Wv390BlmAUW6VZDgnnTSbA%3D%3D&trk=d_flagship3_search_srp_jobs,7 minutes ago
12,Java Developer,Enterprise Solutions Inc.,"New York, NY","About the job
Title : Java Developer with Go-lang exp. [LinkedIn id & full education details is mandatory]
Location: NY/NJ only [Hybrid- No remote, have to go office 3 days a week] {Only local profiles will be considered-> In-person interview is required}
[Contract]- $55/hr - $65/hr all-inclusive C2C or
[Full Time]- $50/hr - $55/hr on W2 +benefits
Hiring Mode: TP/FTE

Skills required- Java, Go-Lang. Good to have- Scala
Job description:
Responsibilities-
Extensive experience in designing and implementing Real time and mission-critical Data Systems which consume Data from multiple providers.
Experience working with message queues and event processing streaming systems designed for data distribution and consumption.
Extensive knowledge in implementing microservices using multiple tech stacks leveraging various Programming languages
Experience in software development which encourages TDD Practices to build high quality understandable and maintainable code.
Debug distributed systems effectively for reported issues with the help of infrastructure teams
Communicates effectively with non-technical peers & stake holders.
Gives timely, helpful feedback to technical leads, product owners and scrum masters
Able to suggest improvements to technology and tools and investigate implementations.
Qualifications/Requirements-
Overall experience required: 7+ yrs.
Hands-on expert in GoLang and Java with overall 7+ years of experience.
expert knowledge on building applications which offers API for Clients using various Architectural styles like REST, GraphQL, Web Socket Subscriptions, GRPC.
Expert in analyzing and consuming data from SQL ad NOSQL Database management systems preferably Oracle, MySQL, Redis and MongoDB
Good knowledge of concurrency in Go - goroutines, channel patterns, Go ecosystem, and tools and frameworks.
Experience building large scale enterprise web applications using Go and Spring Boot Web Frameworks.
Demonstrable experience in Engineering best practices like Code Reviews, Code Re-factoring, Security audits, Performance tuning, building Operational tools and troubleshooting.
Experience in working with infrastructure teams on Product Releases, CI/CD, Git Workflows, Build tools.",https://www.linkedin.com/jobs/view/3532056180/?alternateChannel=search&refId=inuBh3AjI096FyK6ABHFRg%3D%3D&trackingId=A%2F6KF5Bcsgg1Snz%2BHpUoeA%3D%3D&trk=d_flagship3_search_srp_jobs,7 minutes ago
13,Dotnet Developer,VDart,"Fort Worth, TX","About the job
Role: .NET Developer
Location: Fort Worth, TX – 76137 (2-3 Days On-Site Per Week)
Duration: 6 Month Contract To Hire


Job Description:

• Responsible for interpreting functional requirements, developing technical specifications, maintaining, and enhancing applications in our Open Systems environment. Some new development projects.
• Ensure products, applications, documents, and systems meet established quality standards and requirements.
• May assist with training of other developers.
• Participate in On-Call rotation to support system applications.
• Ability to work independently and as part of a team, meet deadlines and work with users on projects.
• Strong written and verbal communication skills.
• Ability to adapt to changing technology and priorities.
• Must be able to work in the Fort Worth office.

Minimum Requirements:
• Requires a bachelor’s degree in Information Systems, Computer Science, or equivalent work experience.
• 10 years Systems development experience
• 3-5 Years .Net Core
• 3-5 years .Net Framework
• Rest API
• Full SDLC lifecycle
• Source Control Tools (GitLab, Subversion)
• Understanding of Mainframe integration

Other skills for an ideal candidate:
• Familiarity with Insurance concepts and servicing
• CICS Web Services for mainframe system integration
• Understanding of API middleware – MuleSoft, MQ
• Experience with Cloud solutions – Azure, AWS
• Background with OCR and document management workflow applications – Teleform, Docfinity


Thanks and regards,
Prabakaran. V
Recruitment Consultant
VDart Inc.
Phone: (470) 563-9776
Email: prabakaran.v@vdartinc.com
Linkedin: https://www.linkedin.com/in/prabakaran-velupillai-b87019246/
Website: https://www.vdart.com/",https://www.linkedin.com/jobs/view/3529561800/?alternateChannel=search&refId=inuBh3AjI096FyK6ABHFRg%3D%3D&trackingId=SQ0qWvvABTPDLGcPYX%2FThQ%3D%3D&trk=d_flagship3_search_srp_jobs,7 minutes ago
14,Peoplesoft Developer,Apetan Consulting LLC,United States,"About the job
Role: PeopleSoft Developer
Location: Fully Remote, est hours


Must Haves:
• 7 to 10+ years of experience in Implementation, Customization, Upgrade and Development of PeopleSoft HRMS 9.2 application.
• Strong Communications skill and the ability to work with multiple teams.
• Experience with Tax Update implementation.
• Experience of SQR, Application Engine, Component Interface and Fluid Development, and COBOL.
• Experience with PS Queries and complex SQL for reporting needs.
• Solid understanding of Payroll process to support multiple functional areas, such as Processing, Tax and GL teams within Payroll Dept.
• Experience with TIDAL Scheduler (or similar tool) and may need assistance with nightly support of Payroll batch jobs.
• Experience with UNIX Scripts to support encryption, file transfers and others.

Plus:
•Experience or understanding of Oracle HCM Cloud Payroll Modules not required but a plus.
•Experience or understanding of Oracle HCM Cloud Development not required but a plus.",https://www.linkedin.com/jobs/view/3532055162/?alternateChannel=search&refId=inuBh3AjI096FyK6ABHFRg%3D%3D&trackingId=goSGp7e%2F7j7TEhaOpQRanQ%3D%3D&trk=d_flagship3_search_srp_jobs,8 minutes ago
15,Java Software Engineer,"Promantis, Inc.",United States,"About the job
Only W2
Job Title: Java Developer (Angular Experience must)
Location: Remote
Contact: 919-635-6195
Mail: tamizh.j@promantisinc.com

Java Developer role Job Requirements:

• 8+ years of overall IT experience
• 2+ years of experience with Angular 8+
• 4+ years of experience implementing REST services with Java, preferably including Spring Boot",https://www.linkedin.com/jobs/view/3529564209/?alternateChannel=search&refId=inuBh3AjI096FyK6ABHFRg%3D%3D&trackingId=1P09Lpfx2bGnfBuG4J%2FZog%3D%3D&trk=d_flagship3_search_srp_jobs,9 minutes ago
16,MIS Software Developer,RGBSI,"Orlando, FL","About the job
Job Description:
The MIS is designed to support users with data analysis for program decision making and contract life cycle activities.
The MIS Software Developer will have experience developing MIS code.
The ability to listen with empathy and seek to understand the perspective of others is one of the keys to success within our Agile teams.
Individuals who love to learn and seek new challenges are highly valued. This position is based in Orlando, FL.
The ability to work on-site bi-weekly is required; however, remote work will be considered for the right candidates.

Typical Duties:
The MIS Software Developer is responsible for developing software to support the GMTS MIS.
The MIS Software Developer builds, expands and maintains our automated build and testing processes.
The candidate utilizes our tool set which includes Angular, .Net, C#, WebAPI, and Microsoft SQL Server.
The MIS Software Developer mentors less experienced engineers and contributes to maturing and improving our processes and products.
Adherence to coding standards and best practices and configuration management of all code is required for this position.

Required Skills:
Minimum of 5 years related experience in Software Development or other related engineering experience.
Experience with one or more JavaScript frameworks with a strong preference for Angular.
Ability to research, analyze, and optimize code to meet performance requirements.
Experience with C#, JavaScript, CSS, HTML with adherence to best coding practices.
Experience with Object Oriented Design, Analysis, and Development.
Experience and/or familiarity with SQL Server.
Experience and/or familiarity with GIT.
Must be a US Citizen with ability to obtain a DoD Secret level clearance.

Desired Skills:
Good communication and teaming skills demonstrated by experience working within Agile or DevOps SW development teams.
DevOps - CI/CD experience.
IIS deployment experience.
UML Class Diagraming experience.
Experience with DoD development process.

Education Requirements:
BS in Computer Science, Software Engineering, Computer Engineering, Electrical Engineering, Math, or another related field.",https://www.linkedin.com/jobs/view/3529559740/?alternateChannel=search&refId=inuBh3AjI096FyK6ABHFRg%3D%3D&trackingId=Qx7PxgWM6n0UNwRsLz4x1w%3D%3D&trk=d_flagship3_search_srp_jobs,11 minutes ago
17,Junior Dotnet Developer,First Ring Solutions,"Mahwah, NJ","About the job
.Net w/Azure Paas
Interview Mode: coding assignment and video interview
Immediate onsite in Mahwah, New Jersey 07430 (3 days onsite 2 days remote)

Candidate should have multi-year, professional development, and architecture experience in the following technologies: Microsoft C#, NoSQL document repositories (Couchbase), Microsoft .NET Core, Microsoft WebAPI, .Net MVC and Razor pages. Candidate should also be familiar with the following concepts: Agile / Scrum methodologies, Software Architecture and Design, Git based source control, Restful API design, Unit Test generation and Test Driven Development, Dependency injection, and inversion of control design and implementation.
Mandatory Skills: C#, .Net 6, Azure PAAS
Desired Skills: NoSQL document repositories (Couchbase), Microsoft SQL, Microsoft WebAPI, .Net MVC and Razor/Blazor",https://www.linkedin.com/jobs/view/3532054210/?alternateChannel=search&refId=inuBh3AjI096FyK6ABHFRg%3D%3D&trackingId=%2FrcLYdA2CxbiacJ5sZo25A%3D%3D&trk=d_flagship3_search_srp_jobs,11 minutes ago
18,SQL Developer,Artech L.L.C.,"Charlotte, NC","About the job
Required qualifications:
5+ ETL
5+ SSIS
5+ SQL Server
AWS or Azure
Desired Qualifications:
Kafka
Actimize

Locations:
Charlotte, NC
Summit, NJ

Note: We are accepting US Citizens, GC, H1 Transfer, and all kinds of EADs except OPTs and CPTs
Note: This a hybrid position (3 days work from the office and 2 days work from home).",https://www.linkedin.com/jobs/view/3532056029/?alternateChannel=search&refId=inuBh3AjI096FyK6ABHFRg%3D%3D&trackingId=4fVuYKWqVwQq0iBQFPMZhw%3D%3D&trk=d_flagship3_search_srp_jobs,11 minutes ago
19,Java developer,Peritus Inc,"McLean, VA","About the job
Must Have skills: Java, strong experience in Unix shell scripting
Roles & Responsibilities :
· 6+ years of Java/J2EE development experience with at least 3 years in UNIX environment.
· 3+ years of UNIX shell scripting, PERL experience.
· Experience with Apache and Tomcat
· 2+Years’ experience on UDB, Sybase, SQL Server, or Oracle.
· 3-5 years developing and upgrading complex, enterprise-level we applications on the Oracle SOA suite platform and integrating them with Oracle BPEL, BPM, OSB
· Experience in application support for database and middleware upgrades and migrations preferred.
· Good knowledge of database concepts with working knowledge of SQL, Stored procedures, XQuery and XML Query.
· Ability to learn and adopt various technologies
· Must have good problem-solving skills, attention to details and strong interpersonal skills.
· Hands on experience with Build and Deployment tools and languages
· Experience with Docker is Plus.",https://www.linkedin.com/jobs/view/3532049686/?alternateChannel=search&refId=inuBh3AjI096FyK6ABHFRg%3D%3D&trackingId=OMn2TbqaNs3UJ66tdnXCpg%3D%3D&trk=d_flagship3_search_srp_jobs,12 minutes ago
20,SAS Developer,Cambay Consulting LLC,United States,"About the job
Position:- SAS Developer
Location:- TX, NC NH, MA, UT, NJ, RI
Tax Term:- W2 ONLY

Required Skills:
SAS experience
Operating system is UNIX
SAS EG – Enterprise guide – year at least
Python or BI Power/Tableau experience\
Financial service experience",https://www.linkedin.com/jobs/view/3532053289/?alternateChannel=search&refId=inuBh3AjI096FyK6ABHFRg%3D%3D&trackingId=G0IwvH3xiez%2BShpQPH9hWA%3D%3D&trk=d_flagship3_search_srp_jobs,12 minutes ago
21,Genesys IVR Developer,SecureKloud Technologies,"Irving, TX","About the job
Designation: IVR Developer .

Location: Tampa, FL/ Irving, TX.

Duration: Long Term.

Job Description
Prudential Global Technologies Voice and Contact center team is currently going through various transformation initiatives to lift and shine the technology capabilities supporting the enterprise. We are looking for a Contact Center engineer who will design, develop, implement, and support reliable and resilient solution that will enrich customer experience leveraging Genesys Cloud environment.
MAJOR DUTIES AND RESPONSIBILITIES
Design, Configure, Develop, and Support Conversational IVR’s, & Chatbots leveraging Genesys Cloud Architect tool and Amazon Lex & Lambda.
Lead implementation of API / Web Service integrations to back-end systems (REST, Json, and SQL database)
Using agile methodologies, partner with product owners to understand business needs, gather requirements, and develop solutions to deliver the desired customer experience.
Lead implementation of Inbound & Outbound solutions, QM recording, WFM, Omni-Channel, Analytics, Customer Journeys, and Reporting
Demonstrate complex problem-solving skills
QUALIFICATIONS
5+ years’ of hands-on experience in coding/development in Contact Center platform (Routing/Reporting Call flows, IVR, Conversational AI, ChatBots, Call Recording, WFM etc)
2+ years of experience in Cloud enablement of Contact Center Solutions, especially in migrating from On-prem to CCaaS Cloud solution.
Experience in AWS Lex & Lambda for development of ChatBot
4+ years of IVR Applications and Advanced Speech Recognition engines (ASRs), and hands on development and deployment experience
4+ years of writing code in common programming languages such as NodeJS, Java, .Net, Python
Experience using CICD tools such as BitBucket, Jenkins, AWS Code Pipeline etc
Experience integrating with CRM apps including SalesForce and ServiceNow is a plus
Experience with Genesys-Pure-Cloud or Genesys Engage, hands on implementation, Configuration, deployments to production and support is a plus.
Agile knowledge with SAFe or NWOW framework is preferred
Experience involving digital transformation activities in large organization is a plus
Bachelor’s in computer science or related fields",https://www.linkedin.com/jobs/view/3529560718/?alternateChannel=search&refId=inuBh3AjI096FyK6ABHFRg%3D%3D&trackingId=ImQgURlksuE6WT4TY8HMiw%3D%3D&trk=d_flagship3_search_srp_jobs,13 minutes ago
22,FULL STACK DEVELOPER,TekWissen ®,"Williamsburg, IA","About the job
Job Title: Developer (Full Stack) (Mid)
Location: Williamsburg, IA,52361
Duration: 12 Months
Job Type: Contract
Work Type: Remote
Job Description:
Full Stack Developer (Node/React):
Work in a fast-paced R&D environment
Create webpages using Typescript, Node, and React to interact with automated machinery
Design databases and JSON APIs
Provide feedback in the product design and specification process
A wide degree of creativity and latitude is expected
Responsible for code development, debugging, analyzing test results, implementation, support, and enhancement of automated system software programs used in agricultural research.
Required Qualifications:
Minimum of 5 years' experience in a programming field, database design, or server administration
Proficient in programming JavaScript/Typescript with 2+ years' experience
Proficient in SQL Query Development, Relational Database Design
Proficient in JSON API development
Requires a bachelor's degree in computer science or similar bachelor’s degree
Strong verbal and written communication skills
This developer position is located on-site in Williamsburg, IA with half remote.
Preferred but not required qualifications:
Git source control experience
GitHub Actions automation
Docker
Continuous Integration tools",https://www.linkedin.com/jobs/view/3529560703/?alternateChannel=search&refId=inuBh3AjI096FyK6ABHFRg%3D%3D&trackingId=F9NrJoA7qyGAWOgyIOXa2g%3D%3D&trk=d_flagship3_search_srp_jobs,14 minutes ago
